b
bʱ
b̚
d
d̠
d̪
d̪ʱ
d̪̚
d͡z
d͡zʱ
e
e̤
h
i
i̤
i̤ː
i̯
j
k
kʰ
k̚
k̞ʰ
l
l̪
l̻
m
mː
n
nː
n̪
n̻
o
o̤
o̤ː
p
pʰ
p̚
r
rː
s
sː
s̠
t̚
t̠
t̠ʰ
t̪
t̪ʰ
t̪̚
t͡s
t͡sʰ
t͡sʰʲ
u
uː
u̯
w
x
z
ä
ä̃
ä̃ː
ä̆
ä̤
ä̤ː
ä̤̃
ä̤̃ː
ĩ
ĩ̯
ŋ
ũ
ũ̯
ɒ
ɔ
ɖ
ɖʱ
ɡ
ɡʱ
ɡ̞
ɦ
ɭ
ɳ
ɸ
ɽ
ɽ̃
ɾ
ʃ
ʈ
ʈʰ
ʈ̚
ʌ
ʌː
ʌ̃
ʌ̤
ʌ̤ː
ʌ̤̃
ʔ
ṳ
ṳː
ṳ̃
ẽ
‿
