a
aː
b
bː
c
cː
d
dː
d͡z
d͡zː
d͡ʒ
d͡ʒː
eː
f
fː
h
i
iː
j
jː
k
kː
l
lː
l̩
m
mː
n
nː
o
oː
p
pː
r
rː
r̩
s
sː
t
tː
t͡s
t͡sː
t͡ʃ
t͡ʃː
u
uː
u̯
v
vː
x
xː
y
yː
z
zː
ç
õː
ø
øː
ŋ
ɒ
ɒː
ə
ɛ
ɛː
ɟ
ɟː
ɡ
ɡː
ɦ
ɪ
ɱ
ɲ
ɲː
ɵ
ʃ
ʃː
ʒ
ʒː
ʝ
