b
d
d͡z
d͡ʒ
e
f
h
i
j
k
kʰ
kʲ
kʲʼ
kʼ
l
m
m̥
n
n̠
n̥
o
pʰ
pʼ
qʼ
r
s
t
tʰ
tʼ
t͡s
t͡sʼ
t͡ʃ
t͡ʃʼ
u
v
w
x
z
ŋ
ŋ̊
ɑ
ɑː
ɔ
ɛ
ɡ
ɡʲ
ɣ
ɹ
ɾ
ʃ
ʒ
