a
d͜z
d͡z
d͡ɮ
jˀ
k
kʷ
kʷʼ
kʼ
l
lˀ
m
mˀ
nˀ
pʼ
q
qʷ
qʷʼ
qʼ
tʼ
t͜s
t͜sʼ
t͜ɬ
t͜ɬʼ
wˀ
x
xʷ
ə
ɡʷ
ɢ
ɢʷ
ɬ
ʔ
χ
χʷ
