a
aː
b
d
d͡z
e
eː
h
i
iː
i̯
j
k
kʼ
l
m
n
o
oː
p
pʼ
q
qʰ
qʷ
qʼ
r
s
t
tʼ
tː
tːʼ
t͡s
t͡sʼ
t͡ʃ
t͡ʃʼ
u
uː
u̯
v
x
xː
z
ã
õ
ĕ
ħ
ĩ
ĭ
ŏ
ũ
ɡ
ɣ
ɬ
ɾ
ʃ
ʒ
ʔ
ʕ
ʡ
ẽ
