a
b
d
d͡ʒ
e
f
h
i
j
k
l
m
n
o
p
r
s
t
t͡ʃ
u
v
w
y
z
æ
ø
œ
œ̃
ɑ
ɑ̃
ɔ
ɔ̃
ɛ
ɛ̃
ɡ
ɪ
ɾ
ʃ
ʒ
‿
