a
aː
b
d
d͡ʒ
e
eː
f
i
iː
i̬
i̯
j
k
l
m
n
nː
o
p
r
s
t
t͡ʃ
u
uː
v
w
y
yː
z
æ
ø
øː
ø̯
ŋ
ŋː
ɔ
ɔː
ɛ
ɛː
ɡ
ɥ
ɪ
ɲ
ɹ
ɾ
ʃ
ʊ
ʒ
