b
bʲ
d
d͡z
d͡zʷ
d͡ʒ
e
f
h
i
j
k
kʲ
kʷ
k͡p
k͡pʲ
k͡pʷ
l
lʲ
m
n
o
p
pʲ
s
sʷ
t
tʲ
t͡s
t͡sʷ
t͡ʃ
u
v
w
z
à
á
ã
ã̀
ã́
ã̄
è
é
ì
í
ò
ó
óꜜ
ù
ú
ā
ē
ĩ
ĩ̀
ĩ́
ĩ̄
ī
ī̃
ŋ
ŋ̀
ŋ́
ŋ̄
ō
ũ
ũ̀
ũ̄
ū
ū́
ɡ
ɡʲ
ɡʷ
ɡ͡b
ɾ
ɾʲ
ɾʷ
ʃ
ʒ
ṹ
