aː
e
f
g
h
iː
i̯
j
k
kʰ
kʷ
kʷʰ
k̚
l
m
m̩
n
o
p
pʰ
p̚
s
t
tʰ
t̚
t͡s
t͡sʰ
u
uː
u̯
w
yː
y̯
²
³
¹
ŋ
ŋ̍
œː
ɐ
ɔː
ɛː
ɪ
ɵ
ʊ
⁵
⁻
⁶
˥
˥˧
˧˥
˧
˨˩
˩
˩˧
˨
