a
b
d
d͡ʒ
e
f
h
i
iᵐ
iⁿ
j
k
kʰ
l
m
m̩
n
o
p
pʰ
r
s
t
t͡ʃ
u
uᵐ
uᵑ
uⁿ
v
w
z
ð
ŋ
ɑ
ɑː
ɑᵐ
ɑᵑ
ɑⁿ
ɓ
ɔ
ɔᵐ
ɗ
ɛ
ɛː
ɛⁿ
ɠ
ɡ
ɣ
ɲ
ɾ
ʃ
ʄ
θ
ⁿd
ⁿd͡ʒ
