b
d
e
h
i
j
k
l
m
n
p
r
s
t
u
w
x
æ
æ̀
æ̃
æ̃̄
ì
ù
ē
ī
ū
ǣ
ɑ
ɑ̀
ɑ̃̀
ɑ̃̄
ɑ̄
ɛ̃́
ɛ̃̄
ɡ
ɤ̀
ɤ̄
ɬ
ʃ
ʔ
ẽ̄
