a
aː
aˑ
a̯
b
bː
d
dː
d͡z
d͡ʒ
e
eː
e̯
f
fː
h
hː
i
iː
i̯
j
jː
j̥
k
kʰ
kː
l
lː
l̥
l̥ː
m
mː
m̥
n
nː
n̥
o
oː
o̯
p
pʰ
pː
r
rː
r̥
s
sː
t
tʰ
tː
t͡s
t͡ʃ
u
uː
u̯
v
vː
x
y
yː
ð
ðː
ŋ
ŋː
ɑ
ɑ̯
ɟ
ɟː
ɡ
ɡː
ɲ
ɲː
ʃ
ʃː
ʎ
ʎː
θ
