a
aː
b
bː
d
dː
d̪
e
eː
e̞ː
f
fː
h
i
iː
iˑ
i̯
j
jː
k
kʰ
kʲ
kː
l
lː
l̩
l̺
l̺ː
m
mː
m̩
n
nː
nˑ
n̩
n̩ː
n̪
o
oʷː
oː
o̞ː
p
pʰ
pː
r
rː
s
sː
s̪
t
tʰ
tː
t̪
t̪ː
u
uʷ
uʷː
uː
u̯
u͍ː
v
y
yʷː
yː
yːˀ
²
¹
à
â
âː
æ
æː
æ̂
æ̂ː
ç
èː
ê
êː
ì
ìː
íː
î
îː
òː
óː
ó̞ː
ô
ôː
ô̞ː
ø
øʷː
øˀ
øː
ø̂
ø̂ː
ø̽ː
ù
ùː
ûː
ýː
ÿː
ěː
ŋ
ŋː
œ
œʷ
œː
œ́
œ̂
œ̼
ŷː
ǽ
ǿː
ɑ
ɑː
ɑ̀
ɑ̀ː
ɑ́
ɑ̂
ɑ̂ː
ɑ̌
ɒ
ɔ
ɔʷ
ɔː
ɔ̂
ɔ̂ː
ɔ̞
ɖ
ɖː
ɘ
ə
ə̌
ɛ
ɛː
ɛ̂
ɛ̝
ɛ̝̂
ɟ
ɡ
ɡː
ɤ
ɪ
ɪː
ɪ̂
ɪ̯
ɪ̯ː
ɫ
ɫ̪
ɭ
ɯ̞ᵝ
ɯ̽ᵝ
ɯᵝː
ɱ
ɳ
ɳ̍
ɳ̩
ɽ
ɾ
ɾː
ɾ̥
ɾ̺
ʁ
ʂ
ʂː
ʃ
ʃː
ʈ
ʈʰ
ʈʰː
ʈː
ʈːʰ
ʈ̚
ʉ
ʉʷ
ʉʷː
ʉː
ʉ̀ː
ʉ́ː
ʉ̂
ʉ̂ː
ʉ̞
ʉ̯
ʉ̯ː
ʊ
ʊʷ
ʊ́
ʊ̂
ʋ
ʋ̥
ʏ
ʏʷ
ʏː
ʏ̀
ʏ̂
ʏ̯
ʏ̯ʷ
ʒ
ʔ
ỳ
‿
