a
aː
b
cː
c͡ç
d
e
eː
e̞
h
i
iː
i͜e
j
k
l
m
n
o
oː
p
q
r
s
sʲ
t
t͜s
u
uː
u͡o
v
w
x
y
yː
y͡ø
z
ä
äː
ø
øː
ø̞
ŋ
ɑː
ɑ̽
ɕː
ɟ
ɟ͡ʝ
ɡ
ɣ
ɦ
ɨ
ɨː
ɨ͜a
ɯ
ɯː
ɯ͡a
ɯ͡ɤ
ɲ
ɾ
ʁ
ʊ
