aˀ
aˤ
a̤
b͡pʰ
d͡t
d͡tʰ
d͡tᵡ
eˀ
e̤
iˀ
i̤
k
kʰ
m̤
m̰
oˀ
oˤ
o̤
pʰ
sʰ
sʼ
sᵡ
t
tʰ
tᵡ
tᵡʼ
uˀ
xʼ
ã
ãˤ
ã̤
é
òˀ
õ
õˤ
õ̤
ú
ĩ
ĩ̤
ũ
ǀʰ
ǀˀ
ǁʰ
ǁˀ
ǂʰ
ǂˀ
ǃʰ
ǃˀ
ɡ͡kʰ
ʃ
ʃʰ
ʃʼ
ʃᵡ
ᵏǀ
ᵏǀʰ
ᵏǀᵡ
ᵏǀᵡʼ
ᵏǁ
ᵏǁʰ
ᵏǁᵡ
ᵏǁᵡʼ
ᵏǂ
ᵏǂʰ
ᵏǂᵡ
ᵏǂᵡʼ
ᵏǃ
ᵏǃʰ
ᵏǃᵡ
ᵏǃᵡʼ
ᵑǀ
ᵑǀʱ
ᵑǁ
ᵑǁʱ
ᵑǂ
ᵑǂʱ
ᵑǃ
ᵑǃʱ
ᵑ̊
ᶢǀ
ᶢǁ
ᶢǂ
ᶢǃ
ᶢᵏǀʰ
ᶢᵏǀᵡ
ᶢᵏǀᵡʼ
ᶢᵏǁʰ
ᶢᵏǁᵡ
ᶢᵏǁᵡʼ
ᶢᵏǂʰ
ᶢᵏǂᵡ
ᶢᵏǂᵡʼ
ᶢᵏǃʰ
ᶢᵏǃ͡χʼ
ᶢᵏǃᵡ
ᶢᵏǃᵡʼ
ṳ
ṳ̃
ṹ
