a
b
bʲ
d
dʲ
dʲː
dː
d͡z
d͡zʲ
d͡ʒ
d͡ʒʲ
e
f
fʲ
i
i̯
j
k
kʲ
kʲː
kː
lʲ
lʲː
m
mʲ
mː
n
nʲ
nʲː
nː
n̪
n̪ʲ
o
p
pʲ
pʲː
pː
r
rʲ
rʲː
rː
s
sʲ
sʲː
sː
s̪
t
tʲ
tʲː
tː
t͡s
t͡sʲ
t͡sʲː
t͡sː
t͡ʃ
t͡ʃʲ
t͡ʃʲː
t͡ʃː
u
u̯
v
w
x
xʲ
z
zʲ
zʲː
zː
ɐ
ɐ̣
ɑ
ɔ
ɛ
ɡ
ɡʲ
ɦ
ɦʲ
ɪ
ɫ
ɫː
ʃ
ʃʲ
ʃʲː
ʃː
ʊ
ʋ
ʋʲ
ʋʲː
ʋː
ʍ
ʒ
ʒʲ
ʒʲː
ʒː
ʲ
