a̤
b
bʱ
d
dʱ
d̪
d̪ʱ
d͡ʒ
d͡ʒʱ
e
eː
eːʱ
f
i
iʱ
iː
i̤
j
k
kʰ
l
m
n
o
oʱ
o̤
p
pʰ
r
s
t
tʰ
t̪
t̪ʰ
t͡ʃ
t͡ʃʰ
u
uʰ
uʱ
uː
v
z
ã
æ
ô
õ
ĩ
ŋ
ũ
ǒ
ɑ
ɑʱ
ɑ̃
ɑ̈
ɔ
ɔ̃
ɔ̤̃
ɖ
ɖʱ
ə
əʱ
ə̃ː
ə̤
ɛ
ɛ̃
ɛ̤
ɡ
ɡʱ
ɣ
ɦ
ɨ
ɪ
ɪʱ
ɭ
ɲ
ɳ
ɸ
ɽ
ɾ
ʂ
ʃ
ʃʰ
ʈ
ʈʰ
ʊ
ʋ
ʒ
ṳ
ẽ
