,
a
aː
b
c
d
e
eː
f
h
i
iː
i̯
j
k
kʰ
l
l̩
m
m̩
n
n̩
o
oː
p
pʰ
r
s
t
tʰ
t͡s
t͡ʃ
u
uː
v
w
x
z
æ
ç
ŋ
ɐ
ɐ̯
ɔ
ɔː
ə
ɛ
ɛː
ɪ
ɪ̯
ɾ
ʃ
ʊ
ʊ̯
