a
aː
b
bʰ
d
d͡ʒ
e
eː
f
h
i
iː
i̞
i̯
j
jʰ
jː
j̊ʰ
k
kʰ
kᵊ
l
lʰ
lˠ
lˠʰ
l̥ʰ
l̥ˠ
l̥ˠʰ
l̩
l̩ˠ
m
m̥
m̥ʰ
n
n̥
n̩
o
oː
p
pʰ
r
rʰ
r̥
r̥ʰ
r̩
r͈
s
t
tʰ
t͡ʃ
u
uː
u̯
v
w
w̥ʰ
x
z
ð
ŋ
ŋ̊
ŋ̊ʰ
ŋ̩
ɑ
ɑː
ɔ
ə
ɛ
ɛː
ɜ
ɡ
ɣ
ɦ
ɨ
ɨː
ɨ̞
ɨ̞ː
ɨ̞̯
ɨ̯
ɨ̯ː
ɪ
ɪ̯
ɬ
ɬʰ
ɹ
ɾ
ʃ
ʊ
ʊː
ʊ̯
ʍ
ʒ
θ
χ
