a
f
h
i
j
k
kʰ
l
m
n
o
p
pʰ
q
qʰ
r
s
t
tʰ
t͡s
t͡ɕ
t͡ɕʰ
t͡ʂ
t͡ʂʰ
u
w
x
ŋ
ɑ
ɕ
ə
ɚ
ɯ
ʁ
ʂ
ʐ
