a
aː
a͜i
b
bʲ
bʷ
d
dʲ
e
eː
e̝
e̞ː
f
fʲ
h
i
iː
j
k
kʰ
kʰʲ
l
lʲ
m
mʲ
mʷ
n
nʲ
p
pʰ
pʰʲ
pʲ
p̬ʲ
q
r
rʲ
s
sʰ
sʰʲ
sʲ
t
tʰ
tʰʲ
tʲʰ
t͜s
t͜sʰ
u
uː
u̟
v
vʲ
x
xʲ
z
zʲ
z̟
ä
äː
ä̟
ä̟ː
ä̠
ä̠ː
æ͡ɛ
ŋ
œ͡e̞
œ͡ɛ
ɐ
ɐ̟
ɑ
ɑː
ɔ
ɔː
ɔ̝
ɔ̟
ɔ̟ː
ə
ɛː
ɛ̠ː
ɛ͡e̞
ɜ
ɜ̟
ɞ
ɡ
ɡʲ
ɢ
ɤ
ɤ̞
ɤ̟
ɤ̽
ɦ
ɨː
ɨ̞
ɨ̟ː
ɪ
ɴ
ɴ̟
ɵː
ʁ
ʃ
ʉ͜i
ʊ
ʊː
ʊ̞
ʊ̞ː
ʊ̟
ʊ̟ː
ʒ
˕
˕ʷ
˖
˖ː
β
βʷ
χ
