'
+
a
a̰
a̰̰
b
d
d͡ʑ
e
h
i
j
k
kʰ
l
l̥
m
m̥
n
n̥
o
o̰
p
pʰ
s
sʰ
t
tʰ
t͡ɕ
t͡ɕʰ
u
w
z
²
à
á
ã
è
é
ì
í
ð
ò
ó
ù
ú
ŋ
ŋ̊
ɐ
ɔ̀
ɔ́
ɔ̰
ə
ɛ
ɛ̀
ɛ́
ɛ̃
ɛ̰
ɡ
ɪ
ɪ̀
ɪ́
ɪ̰
ɲ
ɲ̊
ɴ
ɴ‌
ɹ
ʃ
ʊ
ʊ̀
ʊ́
ʊ̰
ʍ
ʔ
ʔ‌
θ
က်
ပ
ဘေ
မ
ရေ
ာ
ာ‌‌
း
ḛ
ḭ
ṵ
ṵ‌
’
