a
b
bʲ
bː
c
d
dʲ
dː
d̥ː
d͡z
d͡zʲ
e
f
fʲ
h
hʲ
i
iː
i̯
j
jː
k
kʲ
kʲː
kː
l
lʲ
lʲː
m
mʲ
mʲː
n
nʲ
nʲː
nː
o
oː
o̯
p
pʲ
pʲː
pː
r
rʲ
rʲː
rː
s
sʲ
sʲː
sː
t
tʲ
tː
t͡s
t͡sʲ
t͡sʲː
t͡sː
t͡ʃ
t͡ʃʲ
t͡ʃː
u
uː
u̯
v
vʲ
vʲː
vː
w
x
xː
zː
ŋʲ
ŋː
ɑ
ɑː
ɔ
ɛ
ɛː
ɛ̯
ɡ
ɡʲ
ɡʲː
ɣʲː
ɨ
ɨː
ɨ̯
ɪ
ɫ
ɫː
ɲ
ɲː
ʃ
ʃː
ʎ
ʎː
