,
b
c
cʼ
d
d͡ʒ
f
fʲ
h
i
j
j̰
k
kʷ
kʷʼ
kʼ
l
m
n
p
r
s
sʼ
t
t͡ʃ
t͡ʃʷ
u
w
z
à
àː
á
áː
â
âː
ã
æ
è
èː
é
éː
ê
êː
ì
ìː
í
íː
î
îː
ò
òː
ó
óː
ô
ôː
ù
ùː
ú
úː
û
ûː
ŋ
ɓ
ɔ̀
ɔ́
ɗ
ə̀
ə́
ɛ̀
ɛ́
ɛ̂
ɟ
ɡ
ɡʷ
ɪ̀
ɪ́
ɪ̂
ɫ
ɲ
ɸ
ɸʲ
ɽ
ʃ
ʊ̀
ʊ́
ʊ̂
ʒ
ʔ
