a
aː
b
d
dʱ
d͡ʑ
e
eː
i
iː
j
k
kʰ
kᵊ
l
lᵊ
m
mᵊ
n
nᵊ
o
oː
p
pᵊ
s
sᵊ
t
tʰ
t͡ɕ
t͡ɕʰ
uː
ãː
æ
õː
ĕ
ĕ̃
ŏ
ũː
ɔ
ɕ
ɖ
ə
əː
ə̃
ɛ
ɛ̃
ɡ
ɡʱ
ɦ
ɦᵊ
ɪ
ɪ̆
ɽ
ɽʱ
ɾ
ɾʱ
ɾᵊ
ʈ
ʈʰ
ʊ
ʊ̃
ʊ̆
ʋ
ᵊ
ẽː
