e
eː
h
i
iː
j
k
kʰ
k̚
l
m
n
o
oː
p
pʰ
r
s
t
tʰ
t͡s
t͡sʰ
t͡ɕ
t͡ɕʰ
u
uː
w
yː
z
øː
ŋ
ɑ
ɑː
ɕ
ɛː
ɦ
ɬ
ɲ
ʈ
ʈʰ
ʑ
˥
˩
