,
a
aː
b
c
d
d͡ʒ
e
eː
f
h
i
iː
i̯
j
k
kʰ
kʲ
kʼ
l
l̩
m
m̩
n
n̩
o
oː
p
pʰ
r
s
sʲ
t
tʰ
tʼ
t͡ʃ
t͡ʃʰ
t͡ʃʼ
u
uː
u̯
v
w
x
y
z
~
æ
ɑ
ɔ
ɔː
ə
ɛ
ɛː
ɛ̌ː
ɟ
ɡ
ɪ
ɪ̯
ɱ
ɾ
ʃ
ʊ̯
ʔ
β
θ
