a
a̤
a̰
b
d
e
eː
e̤
i
j
k
kʰ
kʰʷ
l
m
n
nʷ
o̰
p
pʰ
s
sʰ
t
tʰ
t͡ɕʰ
u
v
w
x
z
²
²ˀ
³
³ˀ
¹
¹ˀ
à
á
è
é
ì
í
ð
ò
ó
ù
ú
ɔ
ɔ̀
ɔ́
ɔ̰
ə
ə̤
ɛ
ɛ̀
ɛ́
ɛ̤
ɛ̰
ɡ
ɣ
ɦ
ɨ
ɲ
ɲʷ
ʃ
ʔ
θ
ḭ
ṵ
⁴
⁵
⁵ˀ
