a
aː
aˑ
b
d
d̪
d͡ʒ
e
f
h
i
iː
j
k
l
l̪
m
n
n̪
o
p
r
s
s̪
s̺
t
t̪
t̺
t͡s
t͡ʃ
u
uː
w
z
æ
ŋ
ɐ
ɑ
ɔ
ə
ɛ
ɛː
ɡ
ɪ
ɪ̯
ɲ
ɹ
ɾ
ɾ̪
ʃ
ʊ
ʊ̯
ʌ
ʎ
ʒ
ʔ
