a
b
d
d͡ʑ
d͡ʒ
e
eː
f
fː
i
i̯
j
k
l
m
n
o
p
r
s
t
t͡ɕ
t͡ʃ
u
v
vː
w
wː
y
z
ä
æ
ø
ŋ
ɐ
ɑ
ɒ
ɔ
ɔː
ə
ɛ
ɛː
ɡ
ɥ
ɪ
ɪ̯
ɲ
ɹ
ɾ
ʃ
ʊ
ʏ
ʒ
