a
b
bʲ
bː
b̪
d
dʲ
dʲː
dː
e
e̞
f
fʲ
h
hʲ
i
iʲ
i̞
i̠
i̯
i͜ð
j
k
kʲ
kː
l
lʲ
lː
l̠
m
mʲ
mː
m̟
n
nʲ
nː
o
o̞
p
pʲ
q
qː
r
rʲ
rʲː
rː
r̥
s
sʲ
sː
sᵊ
t
tʲ
tː
t͜s
t͡s
t͡ʃ
u
u̞
v
vʲ
w
xʲ
z
zʲ
ä
æ
æ̹
ï
ï͜i
ð
ðː
ĕ
ŋ
œ̟
ɐ
ɑ
ɑ̹
ɒ
ɔ
ɕ
ɕː
ə
ɛ
ɡ
ɡʲ
ɢ
ɢ̞
ɣ
ɤ
ɦ
ɨ
ɨ̞
ɨ̯
ɨ̯͜i
ɨ͜i
ɪ
ɪ̈
ɪ̈͜i
ɪ̞
ɪ̞ᵝ
ɫ
ɫː
ɯ
ɯ̆
ɯ̞
ɯ̞̆
ɯ̽͜ɪ̈
ɴ
ɵ
ɶ̟
ɾ
ɾʲ
ʁ
ʁ̝
ʁ̞
ʂ
ʃ
ʃ̟
ʊ
ʊ̞
ʏ
ʏ̞
ʐ
ʑ
ʒ
ʔ
ʲe
ʲo
ʲɵ
β
θ
χ
ụ
