a
aː
b
bː
d
e
eː
f
fː
h
i
iː
j
jː
k
kː
l
lː
lˤː
m
mː
n
nː
o
oː
q
r
rː
rˤ
s
sː
sˤ
t
tˤ
tˤː
u
uː
w
wː
z
zː
zˤ
zˤː
æ
æː
ħ
ɑ
ɑː
ə
əː
ɡ
ɡː
ɣ
ʃ
ʊ
ʒ
ʕ
θ
χ
χː
