a
b
d
d̪
d͡ʒ
e
eʱ
eː
f
h
i
iː
j
k
kʰ
l
l̪
m
n
n̪
o
p
pʰ
q
r
s
t
tʰ
t̪
t̪ʰ
t͡ʃ
t͡ʃʰ
u
v
x
z
ä
äʱ
æ
é
í
ú
ŋ
ǽ
ǽʱ
ɑ
ɔ
ɔʰ
ɔː
ɔ́
ɔ́ʰ
ɡ
ɦ
ɪ
ɯ
ɱ
ɴ
ɵ
ɵʱ
ɵː
ɵ́
ɹ
ɾ
ʁ
ʃ
ʊ
ʒ
ʔ
χ
