#
&
2
;
A
a
b
bʱ
d
d̪
d̪ʱ
d͡z
d͡zʱ
d͡ʑ
d͡ʑʱ
e
f
i
iː
j
k
kʰ
l
lʱ
m
mʱ
n
nʱ
o
p
pʰ
r
s
t̪
t̪ʰ
t͡s
t͡sʰ
t͡ɕ
t͡ɕʰ
u
uː
æ
ŋ
ũ
ɔ
ɕ
ɖ
ɖʱ
ə
əʰ
ə̃
ə̤
ɡ
ɡʱ
ɦ
ɭ̆
ɲ
ɳ
ɾ
ɾʱ
ʂ
ʈ
ʈʰ
ʋ
ʋʱ
ː̃
ẽ
