,
a
aː
aˑ
a̝
a̯
a͜i
a͜u
a͡ʊ
b
b̥
b̥ː
c
d
d̚
d̥
d̪
d͡z
d͡ʒ
e
eː
eˑ
e̝
e̞
e̯
f
fː
fˠ
h
i
iʲ
iː
i̯
i̯̯
i͡b
j
jː
k
kʰ
kʲ
k͡s
l
lʲ
lː
lˤː
l̥
l̩
l̩̩
l̺
m
m̩
m̩̩
n
nʼ
nˀ
nː
n̩
n̩ː
n̩̩
n̪
n̺
o
oː
oˑ
o̞
o̯
p
pʰ
pː
p̚
p͜f
p͡f
p͡f̩
p͡ɸ
r
rː
r̥
r̩
r̺
s
sʰ
sː
s̩
s̯
t
tʰ
tʲ
tˀ
tː
t̪
t͜s
t͡s
t͡s̩
t͡s̯
t͡ʃ
u
uː
uˑ
u̯
v
vʲ
v̥
w
x
y
yː
yˑ
y̆
y̯
z
z̥
z̩
~
à
ã
ãː
ä
äː
æ
æː
ç
õ
õː
ø
øː
ø̯
ü
ħ
ŋ
ŋː
ŋ̍
ŋ̩
ŋ̩̩
œ
œː
œ̃ː
ɐ
ɐː
ɐ̠
ɐ̩
ɐ̯
ɐ̯̠
ɐ̯̯
ɐ̰
ɑ
ɑː
ɑ̃
ɑ̃ː
ɑ̈
ɑ̯
ɒ
ɒː
ɔ
ɔː
ɔ̃
ɔ̃ː
ɔ̯
ɔ͜y
ɕ
ɘ
ɘː
ə
əː
əˑ
ə̯
ɚ
ɛ
ɛː
ɛˑ
ɛˤ
ɛ̃
ɛ̃ː
ɛ̯
ɛ̹
ɜ
ɜː
ɝ
ɡ
ɡʰ
ɡ̊
ɡ̥
ɡ̥ː
ɣ
ɨ
ɨˤː
ɨˤːː
ɪ
ɪː
ɪ̆
ɪ̯
ɪ̯̯
ɫ
ɫ̥
ɮ̩
ɮ̩̻
ɱ
ɱ̍
ɱ̩
ɲ
ɴ̩
ɵ
ɸ
ɹ
ɾ
ʀ
ʀ̥
ʁ
ʁ̞
ʁ̞̊
ʁ̥
ʁ̩
ʃ
ʃ̯
ʃ͡t
ʉˤː
ʊ
ʊ̯
ʊ̯̯
ʋ
ʋ̥
ʌ
ʎ
ʎ̞
ʏ
ʏː
ʏ̯
ʒ
ʔ
ʔ̩
ʝ
ˀa
ː
̩
̯
β
β̞
θ
χ
χ͡s
‿
