a
aː
a̰ː
d͡ʑ
e
eː
f
h
i
iː
j
k
kʰ
k̚
l
m
n
o
oː
p
pʰ
p̚
r
s
sʰ
t
tʰ
t̚
t͡ɕ
t͡ɕʰ
u
uː
w
ì
ìː
ŋ
ɔ
ɔː
ɛ
ɛː
ɤ
ɤː
ɯ
ɯː
ɰ
ɲ
ʃ
ʔ
˥
˦˨
˦˨ˀ
˧˧˨
˨˦
˩
θ
