a
b
d
d͡z
d͡ʒ
e
f
h
i
j
k
l
m
n
o
p
r
s
t
t͡ʃ
u
v
w
z
ð
ŋ
ɐ
ɔ
ə
ɛ
ɡ
ɣ
ɫ
ɱ
ɲ
ɾ
ʃ
ʎ
ʒ
β
χ
‿
