a
b
c
d
e
h
i
i̯
j
k
kʰ
l
m
n
o
p
r
s
t
tʰ
u
u̯
v
w
à
â
ì
î
ò
ô
ù
û
ē
ēː
ī
ŋ
ǎ
ǐ
ǔ
ɔ
ə
ə̀
ə́
ə̄
ɟ
ɡ
ʔ
˧
˧˥
˧˩
