a
aː
a̯
b
bʲ
d
dʲ
dˠ
e
eː
e̯
f
fʲ
h
hʲ
i
iː
k
kʲ
l
lʲ
l͈
l͈ʲ
m
mʲ
n
nʲ
n͈
n͈ʲ
o
oː
o̯
pʲ
r
rʲ
r͈
r͈ʲ
s
sˠ
t
tʲ
u
uː
u̯
v
vʲ
x
xʲ
ð
ðʲ
ŋ
ŋʲ
ɕ
ə
ə̯
ɛ
ɡ
ɡʲ
ɣ
ɣʲ
ɯː
ɾʲ
θ
θʲ
ṽ
