a
a̟
b
bʲ
d
dʲ
d͡ʒ
e
f
fʲ
i
j
k
kʲ
l
lʲ
m
mʲ
n
nʲ
o
o̟
p
pʲ
r
rʲ
s
sʲ
t
tʲ
t͡s
t͡sʲ
t͡ʃ
u
u̟
v
vʲ
w
x
xʲ
z
zʲ
ŋ
ɐ
ɔ
ə
ɛ
ɟ
ɡ
ɡʲ
ɤ
ɤ̞
ɤ̟
ɫ
ɱ
ɲ
ʃ
ʒ
