a
aː
i
iː
j
k
kʰ
kʼ
l
m
n
o
s
sʰ
sʼ
t
tʰ
tʰʼ
tʼ
t͡s
t͡sʼ
t͡ɬ
t͡ɬʼ
t͡ʃʰ
t͡ʃʰʼ
t͡ʃʼ
u
uː
w
x
z
à
á
âː
ì
í
ò
ó
ú
úː
ā
ī
ū
ɒ
ɒ̄
ɣ
ɬ
ʃ
ʃʰ
ʒ
ʔ
˥
˧
˧˥ː
