b
bʱ
b̚
d
dʱ
d̚
d̪
d̪ʱ
d̪̚
d͡ʑ
d͡ʑʱ
eː
h
i
iː
j
j̃
k
kʰ
k̚
l
l̃
l̩
l̪
l̪̩
m
m̩
n
n̪
oː
p
pʰ
p̚
r̩
r̩ː
s
s̪
t
tʰ
t̚
t̪
t̪ʰ
t̪̚
t͡ɕ
t͡ɕʰ
u
uː
w
x
í
íː
ú
úː
ĩ
ĭ
ĺ̩
ŋ
ŏ
ŕ̩
ŕ̩ː
ũ
ũː
ŭ
ɐ
ɐ́
ɐ̃
ɐ̃́
ɐ̆
ɑ
ɑː
ɑ́ː
ɑ̃
ɑ̃ː
ɑ̃́ː
ɑ̆
ɕ
ɖ
ɖʱ
ɖ̚
ɡ
ɡʱ
ɡ̚
ɦ
ɭ̆
ɭ̆ʱ
ɲ
ɳ
ɴ
ɸ
ɻ̩
ɻ̩́
ɽ
ɾ
ʂ
ʈ
ʈʰ
ʈ̚
ʋ
ʋ̃
