a
aː
aˑ
b
d
d͡ʒ
e
eː
eːʰ
eˑ
f
h
i
iː
iˑ
j
k
kˑ
l
lʰ
lː
m
mː
n
nː
nˑ
o
oː
oːʰ
oˑ
p
r
rʰ
rː
s
t
tː
t͡ʃ
u
uː
v
w
x
y
yː
z
æ
æʰ
æː
æːʰ
æˑ
æᵇ
ð
øː
ŋ
œ
œː
ɐ
ɐʰ
ɑː
ɒ
ɒː
ɔ
ɔʰ
ɔː
ɔˑ
ə
ɛ
ɛʰ
ɛː
ɛˑ
ɛᵈ
ɡ
ɣ
ɤ
ɪ
ɪː
ɪˑ
ɪᵈ
ɹ
ɾ
ʁ
ʃ
ʊ
ʊʰ
ʊˑ
ʍ
ʏ
ʒ
θ
χ
