a
b
d
dʲ
d͡ʒ
e
e̯
f
h
i
iː
i̯
j
k
kː
l
lʲ
lʲː
lː
m
mː
n
nʲ
nʲː
nː
o
oː
o̯
p
pː
r
rʲ
s
sʲ
sʲː
sː
t
tʲ
tʲː
tː
t͡ʃ
t͡ʃː
u
uː
u̯
v
y
yː
y̯
z
zʲ
æ
æ̯
ø
ø̯
ŋ
ɑ
ɑ̯
ɡ
ʃ
ʃː
ʋ
ʋː
ʒ
