a
aː
aˑ
a͡ɪ
a͡ʊ
b
bʲ
d
dʲ
d̪
d̪ʲ
d͡ʒ
e
eː
f
fʲ
h
i
iː
iːʲ
i̯
i͡ə
j
jʲ
jː
k
kʲ
l
lʲ
m
mʲ
n
nʲ
n̪
n̪ʲ
o
oː
o̟ː
p
pʲ
r
rʲ
rʲˑ
rː
rˑ
r̺
s
sʲ
s̪
s̪ʲ
t
tʲ
t̪
t̪ʲ
t̪͡s̪
t̪͡s̪ʲ
t͡sʲ
t͡ɕ
t͡ɕʲ
t͡ɕ̯
t͡ʃ
t͡ʃʲ
u
uː
uˑ
u̟ː
u̯
u͡ə
v
vʲ
w
x
xʲ
z
zʲ
z̪
à
â
âː
âˑ
ä
äː
äˑ
ä̂
ä̂ː
ä̂ˑ
ä̌ː
æ
æː
æˑ
æ̌ː
æ̌ˑ
êː
ì
î
îː
ôː
û
ûː
ěː
ŋ
ŋʲ
ŋˑ
ŋ́
ŋ́ˑ
ǎː
ǐː
ǒː
ǔː
ɐ
ɐ̀
ɐ͡n̩
ɐ͡r
ɐ͡ɪ
ɑ
ɑː
ɑˑ
ɑ̌ː
ɒ
ɒ͜úˑ
ɔ
ɔʲ
ɕ
ə
ə̯
ɛ
ɛː
ɛ̂
ɛ̂ˑ
ɛ͡r
ɟ̟
ɡ
ɡʲ
ɣ
ɣʲ
ɪ
ɪˑ
ɪ́
ɪ̂
ɪ̌͡ə
ɪ̯
ɪ̯ˑ
ɪ̯̌ː
ɪ͡r
ɪ͡ə
ɫ
ɫ̪
ɲ
ɾ
ɾʲ
ʂ
ʃ
ʃʲ
ʃʲː
ʊ
ʊː
ʊ̟
ʊ̯
ʊ̯ˑ
ʋ
ʋʲ
ʐ
ʑ
ʒ
ʒʲ
ʒ͡ʲ
