a
aː
b
c
d
e
eː
h
i
iː
j
k
kʰ
l
m
n
o
oː
p
r
s
t
u
uː
w
ŋ
ɓ
ɔ
ɔː
ɗ
ə
əː
ɛ
ɛː
ɟ
ɡ
ɨ
ɨː
ɲ
ʔ
