a
aˀ
aː
a͡i
a͡u
b
bː
d
dː
e
eː
h
hː
i
iː
iːˀ
k
kː
l
lː
m
mː
n
nː
o
oː
p
pː
r
rː
t
tː
u
uː
uˠ
w
ŋ
ŋː
ɓ
ɓː
ɗ
ɗː
ɡ
ɲ
ʄ
ʔ
