#
&
0
2
3
8
;
b
bː
b̤
d
dː
d̚
d̤
d̤͡z̤
d̤͡ʒ̤
d͡z
d͡ʒ
e
eː
f
fː
h
i
j
k
kʰ
kʰʲ
kʰː
kʲ
kː
l
lː
m
mː
n
nː
o
p
pʰ
pʰː
pː
q
r
rː
s
sː
t
tʰ
tʰː
tː
t̚
t͡s
t͡sʰ
t͡ʃ
t͡ʃʰ
u
v
vː
z
zː
æ
ç
é
í
ó
ú
ŋ
œ
ɑ
ɑ́
ɑ̃
ɒ
ə
ə́
ɛ
ɡ
ɡʲ
ɡː
ɡ̤
ɦ
ɨ
ɹː
ɾ
ʁ
ʁː
ʃ
ʃː
ʏ
ʏ́
ʒ
χ
χː
