a
aː
b
bˤ
d
dˤ
d͡ʒ
e
eː
f
h
i
iː
j
k
l
lˤ
m
mˤ
n
nˤ
o
oː
p
q
r
rˤ
s
sˤ
t
tˤ
u
uː
v
w
x
xː
z
zˤ
æ
æː
ð
ðˤ
ħ
ɑ
ɑː
ɑˤː
ɛ
ɡ
ɣ
ɨ
ɪ
ɫ
ʃ
ʊ
ʌ
ʒ
ʔ
ʕ
θ
