a
aː
b
c
d
d͡z
d͡ʒ
f
iː
j
k
l
l̩
m
m̩
n
n̩
o
oː
p
r
r̝
r̝̊
r̩
s
t
t͡s
t͡ʃ
u
uː
u̯
v
x
z
ŋ
ɔ
ə
ɛ
ɛː
ɟ
ɡ
ɦ
ɪ
ɲ
ʃ
ʒ
ʔ
