a
aː
b
c
c͡ç
c͡ɕ
d
d͡z
d͡ʑ
d͡ʒ
e
eː
f
h
i
iː
i̞
j
k
kʰ
kʲ
l
lː
m
mː
m̩
n
o
oː
o̞
p
p̚
q
qʰ
r
s
t
t͡s
t͡ɕ
t͡ʃ
u
uː
u̞
v
x
y
yː
z
ã
ãː
ä
äː
æː
æ̃
ç
ð
õː
ĩː
ŋ
ũ
ũː
ũˑ
ɑ
ɑː
ɑ̃
ɑ̃ː
ɒ
ɔ
ɔː
ɔˑ
ɔ̃
ɔ̯
ɕ
ɘ
ə
əː
ə̃
ə̃ː
ɚ
ɛ
ɛː
ɛ̃
ɛ̃ː
ɜ
ɟ
ɟ͡ʑ
ɟ͡ʝ
ɡ
ɣ
ɪ
ɪː
ɫ
ɫ̪
ɲ
ɳ
ɹ
ɻ
ɽ
ɾ
ʃ
ʊ
ʊː
ʊ̃
ʎ
ʏ
ʑ
ʒ
ʝ
ʝ͡ʑ
ʰi
˖
θ
ẽ
