a
aː
b
d
d͡ʑ
e
eː
f
i
iː
j
k
l
lʲ
m
n
nʲ
o
oː
p
r
s
t
tʲ
t͡s
t͡ɕ
u
uː
v
w
x
y
yː
z
æ
æː
ø
øː
ŋ
ɕ
ə
ɛ
ɡ
ɡː
ɢ
ɳ
ʁ
ʃ
ʑ
χ
‿
