a
b
d
d͡z
d͡ʒ
e
eː
f
h
i
iː
j
k
l
m
n
o
oː
p
r
s
t
t͡s
t͡ʃ
u
v
w
x
y
z
ø
ŋ
ɔ
ə
ɛ
ɡ
ɪ
ɲ
ɹ
ʀ
ʃ
ʎ
ʒ
ʔ
‿
