a
aʲ
aː
a̝
a̯
b
bʲ
b̚
c
d
dˤ
d̪
d͡ʒ
e
e̞
e̯
f
h
hʲ
i
iʲ
i̯
i̯ʲ
i̽
j
k
k̚
l
m
n
n̪
o
oː
o̞
o̯
p
p̚
q
r
s
sˤ
t
tʷ
t̚
t̪
t̪̚
t͡ʃ
u
uʷ
uː
u̪
u̯
v
w
x
xʲ
y
z
á
ä
ä̯
ç
é
ð
ĕ
ŋ
ū
ɐ
ɑ
ɑː
ɔ
ɘ
ə
ə̂
ə̆
ɛ
ɛʲ
ɛ̀
ɛ̆
ɛ̯
ɟ
ɡ
ɡʲ
ɣ
ɣʲ
ɤ
ɪ
ɪ̯
ɫ
ɲ
ɹ
ɾ
ʁ
ʃ
ʊ
ʊ̯
ʋ
ʌ
ʒ
ʔ
ʔ̚
