a
aʰ
aː
aːʰ
b
cʰ
d
dː
d̥
d͡ʒ
d͡ʒː
d͡ʒ̥ː
e
eː
eːʰ
e̞ː
f
fː
h
i
iʰ
iː
iːʰ
i̯ː
j
k
kʰ
kː
l
lː
l̥
m
mː
m̥
n
nʲ
nː
n̥
n̥ː
o
oː
oːʰ
o̞
p
pʰ
pː
r
rː
r̥
s
sː
t
tʰ
tʰʲ
tʱ
tʲʰ
tː
t͡ʃ
t͡ʃʰ
t͡ʃː
u
uː
u̯
u̯ː
u̯ˑ
v
vː
w
ø
øː
øːʰ
ŋ
ŋː
ŋ̊
œ
œʰ
œː
ɑ
ɑː
ɑːʰ
ɔ
ɔʰ
ɔː
ɔːʰ
ə
ɛ
ɛʰ
ɛː
ɛːʰ
ɡ
ɡː
ɡ̊
ɪ
ɪʰ
ɪː
ɬ
ɭ
ɲ
ɲː
ɲ̊
ɳ
ɸ
ɹ
ɹː
ɹ̥
ɺ
ɻ
ɻ̊
ɻ̥
ɾ
ʂ
ʂː
ʃ
ʃʰ
ʃː
ʈ
ʈ͡ʂ
ʉ
ʊ
ʊʰ
ʋ
ʎ
ʎ̥
ʏ
ʏʰ
ʒ
ʒː
