*
a
aː
b
d
d͡z
d͡ʒ
e
eː
eːː
e̯
f
h
i
i̯
i͜ɛ
i͡ɛ
j
k
kʷ
l
m
n
o
oː
o̯
p
r
s
t
t͡s
t͡ʃ
u
uː
u̯
u͡ɛ
v
vᵊ
w
y
z
ã
æ
ð
õ
ĩ
ŋ
ũ
ɔ
ɔ̃
ə
ɛ
ɛː
ɛ̃
ɛ̯
ɡ
ɡʷ
ɥ
ɫ
ɲ
ɾ
ʃ
ʎ
ʒ
̩
θ
ẽ
