1
V
Vː
[
]
a
aː
b
c
cʼ
d
d͡ʒ
e
eː
f
h
i
iː
j
k
kʼ
l
m
m̩
n
o
oː
p
q
qʼ
r
s
t
tʼ
t͡ʃ
t͡ʃʼ
u
uː
w
x
z
ç
ø
øː
ħ
ɑ
ɑː
ə
ɛ
ɝ
ɡ
ɾ
ʀ
ʃ
ʃʼ
ʔ
ʔʼ
ʕ
β
χ
’
