a
aː
bʱ
c
cʱ
d
dʱ
d̪
e
eː
f
h
i
iː
j
k
kʰ
l
m
n
o
oː
p
pʱ
q
r
s
t
tʱ
t̪
t͡ʃ
t͡ʃʰ
u
uː
w
x
y
z
ŋ
ũː
ɑ
ɑː
ɓ
ɖ
ɖʱ
ɗ
ə
ɛː
ɟ
ɟʱ
ɠ
ɡ
ɡʱ
ɣ
ɪ
ɲ
ɳ
ɽ
ɽʰ
ɽʱ
ɾ
ʃ
ʄ
ʈ
ʈʰ
ʊ
ʔ
ʕ
ᶑ
