:
a
aː
b
d
e
eː
f
h
i
iː
j
k
kʷ
l
m
mː
n
nː
o
oː
p
pː
r
s
t
u
uː
u̯
v
w
x
y
z
ð
ŋ
ŋʷ
ɔ
ɔː
ɛ
ɛː
ɟ
ɡ
ɡʷ
ɣ
ɸ
ʍ
β
θ
θː
