,
a
aː
b
bʰ
bː
b̥
d
dʰ
dː
d̪
d̪ʰ
d̪ː
d̪̥
d̪̪
d̪̪̥
d͡ʒ
d͡ʒː
d͡ʒ̥
e
eʱ
eː
eːʱ
e̞
e̞ʱ
f
fː
h
hː
i
iː
iːʱ
i̯
j
jʰ
jː
k
kʰ
kʰʲ
kʲ
kʲː
l
lʰ
l̥
l̪
m
mː
n
n̪
o
oʱ
oː
oːʱ
o̞
o̞ʱ
p
pʰ
q
r
s
sː
t
tʰ
tː
t̪
t̪ʰ
t̪̪ʰ
t̪͡ʃʰ
t͡ʃ
t͡ʃʰ
t͡ʃː
u
uː
uːʱ
v
w
x
xʷ
xː
z
zː
~
â
ä
äʱ
ä́
æ
æʰ
æʱ
æː
é
éʱ
éː
éːʱ
í
íː
íːʰ
íːʱ
ð
ðː
ð̪
ó
óʱ
óː
óːʱ
ú
úː
úːʰ
úːʱ
ŋ
ǽ
ǽʱ
ɑː
ɑːʱ
ɑ́ː
ɑ́ːʱ
ɒ
ɒː
ɒːʰ
ɒːʱ
ɒ́ː
ɒ́ːʰ
ɔ
ɔʱ
ɔː
ɔ́
ɔ́ʱ
ɔ́ː
ɖ
ə
ɛ
ɡ
ɡʱ
ɡʲ
ɡʷ
ɡ̥
ɡ͡ɣ
ɢ
ɢ̥
ɣ
ɦ
ɪ
ɪ́
ɪ́ʱ
ɱ
ɲ
ɳ
ɴ
ɵ
ɵʰ
ɵ́
ɵ́ʰ
ɹ
ɹʰ
ɾ
ɾʰ
ɾː
ʁ
ʃ
ʃʰ
ʃː
ʈ
ʊ
ʊː
ʊ́
ʊ́ʱ
ʊ́ː
ʊ̯
ʏ
ʒ
ʔ
ʕ
ʲ̥
β
βː
θ
χ
