a
b
bʲ
d
dʲ
e
f
fʲ
i
j
k
kʲ
l
lʲ
m
mʲ
n
nʲ
o
p
pʲ
r
rʲ
r̥
s
sʲ
t
tʲ
t͡s
t͡ɕʲ
t͡ʃ
u
v
vʲ
z
zʲ
æ
ŋ
ɑ
ɕ
ə
ɡ
ʂ
ʃ
ʃʲ
ʒ
