a
aː
aːː
a͡ɪ
b
bˡ
b̚
b̥
b̪
bᵊ
cʰ
d
dʲ
dˀ
dː
d̚
d̠
d̠͡ɹ̠
d̥
d̥̚
d̪
d͡ɹ
d͡ɹ̝
d͡ʒ
dⁿ
e
eː
e̞
e̯
e͡ə
e͡ɪ
eᵊ
f
fʷ
f̚
f͡s
f͡s̪
h
i
iʲ
iː
iˑ
i̯
i͡ə
j
jː
j̊
j̥
k
kʰ
kʲ
kʷ
kʼ
k̚
k̟ʰ
k̠ʰ
k͡s
k͡ǀ
l
lː
l̥
l̥ʰ
l̩
l̪
l͡s
m
mː
m̥
m̩
m̩ː
n
nː
n̠
n̥
n̩
n̪
n̪̥
o
oː
o̞
o̞ː
o̯
o͡ʊ
p
pʰ
pʷ
pː
p̚
p̪
p͡fː
p͡tʼʰ
p͡ɸː
q
r
r̩
s
sʰ
sː
sːː
s̪
t
tʰ
tˀ
tː
tˤ
t̚
t̠
t̠ʰ
t̠̚
t̠͡ɹ̠
t̠͡ɹ̠̊
t̠͡ʃ
t̪
t̪ʰ
t̪͆
t̬
t͜ʃ
t͡j
t͡s
t͡sːː
t͡ʃ
t͡ʃʰ
t͡ʃː
tᵊ
tⁿ
u
uʷ
uː
uːʷ
u̟
u̟ː
u̠ː
u̥
u̯
u̯ː
v
vᵊ
w
w̟
w̥
x
y
yː
z
zː
z̥
~
ã
ä
äː
äːː
æ
æˀ
æː
æːː
æˑ
æ̃
æ̃̂ːː
æ̙
æ̝
æ̝ː
æ̰ˀ
æ̰ː
ç
ð
õ
õ̞
ö̞
ø
øː
ā
ă
ħ
ĩ
ĩː
ĭ
ĭ̥
ŋ
ŋ̍
ō
ŏ
œ
œː
ŭ̥
ǀ
ǁ
ɐ
ɐː
ɑ
ɑˀ
ɑː
ɑˑ
ɑ̃
ɑ̃ː
ɑ̃ⁿ
ɑ̈
ɒ
ɒˀ
ɒː
ɒ̃
ɒ̃ⁿ
ɒ͡ɪ
ɓ
ɔ
ɔː
ɔːː
ɔ̃
ɔ̃ː
ɕ
ɖ
ɘ
ə
əː
ə̃
ə̆
ə̥
ə̯
ə̯̃
ə͡l
ə͡ʊ
ɚ
ɚː
ɚːː
ɚ̯
ɛ
ɛː
ɛˑ
ɛ̃
ɛ̈
ɛ̝
ɛ͡ə
ɜ
ɜː
ɜ̃
ɜ̰ʰ
ɝ
ɝː
ɝˑ
ɝ̃
ɞ
ɡ
ɡʰ
ɡʱ
ɡ̊
ɡ̩
ɣ
ɣː
ɤ
ɤ̈
ɥ
ɦ
ɨ
ɨː
ɨ̃
ɨ̞
ɪ
ɪʰ
ɪː
ɪˑ
ɪ̃
ɪ̈
ɪ̞
ɪ̥
ɪ̯
ɪ‌
ɫ
ɫʷ
ɫː
ɫˑ
ɫ̥
ɫ̩
ɫᵈ
ɬ
ɭ
ɯ
ɯ̽
ɱ
ɱ̊
ɱ̩
ɲ
ɳ
ɵ
ɵː
ɶ
ɸ
ɸ͡s
ɸ͡s̪
ɹ
ɹʷ
ɹː
ɹˠ
ɹ̃
ɹ̝̊
ɹ̠
ɹ̠ʷ
ɹ̠̊
ɹ̥
ɹ̥ʷ
ɹ̩
ɻ
ɻʷ
ɽ̃
ɾ
ɾʱ
ɾ̃
ɾ̪̊
ɾᵊ
ʀ̊
ʁ
ʃ
ʃː
ʃ̩ː
ʃ͡ɹ
ʈ
ʉ
ʉː
ʉ̞
ʉ̯
ʉ͡u
ʊ
ʊʷ
ʊː
ʊ̃
ʊ̆
ʊ̈
ʊ̠
ʊ̯
ʊ̯ˀ
ʊ̯̃
ʊ͡ə
ʊ͡ɹ
ʋ
ʌ
ʌˀ
ʌː
ʌˑ
ʌ̃
ʌ̃ː
ʌ̈
ʌ᷈
ʍ
ʎ
ʏ
ʒ
ʔ
ʔ̚
ʔᵊ
ʕ
ʘ
ʙ̥͡ɸː
ˀe
ː
˔
˔ʷ
˗ʷ
˞
˥
˥˩
˦
˦˨
˧
˧˥
˧˦
˧˨
˨
̩
β
θ
χ
ẽ
ẽː
ẽˑ
↓
