a
b
d
d͡ʒ
e
i
j
k
l
m
n
o
p
s
t
t͡s
t͡ʃ
u
y
z
á
ã
ã́
æ
é
í
ó
ú
ý
ŋ
ũ
ǽ
ǿ
ɖ
ɘ
ɘ́
ɡ
ɳ
ɹ
ɽ
ɽ̃
ɾ
ʂ
ʃ
ʈ
ʈ͡ʂ
ʋ
ʐ
β
ẽ́
