a
b
d
d͡ʒ
eː
f
h
iː
j
k
kʰ
kˤ
l
m
n
oː
p
pʰ
pˤ
q
r
s
sˤ
t
tʰ
tˤ
t͡ʃ
t͡ʃʰ
t͡ʃˤ
t͡ˤ
uː
v
w
x
xʷ
z
æ
í
ħ
ŋ
ɑ
ɑː
ɛ
ɛː
ɛˤ
ɜ
ɡ
ɣ
ɪ
ɫ
ɾ
ʃ
ʊ
ʒ
ʕ
ˤɑː
ˤɛ
